atomid: atom_vol, EMid: EM_vol, score
5me2: 82931.25 , 3488.mrc: 78867.1289064
5me2: 82931.25 , 0339.mrc: 461640.675
5me2: 82931.25 , 9297.mrc: 304272.690625
5me2: 82931.25 , 0502.mrc: 223699.975

6nt5: 89623.75 , 0502.mrc: 223699.975
6nt5: 89623.75 , 6896.mrc: 586147.96875
6nt5: 89623.75 , 0339.mrc: 461640.675
6nt5: 89623.75 , 3488.mrc: 78867.1289064
6nt5: 89623.75 , 9297.mrc: 304272.690625

6n4b: 162395.5 , 9297.mrc: 304272.690625
6n4b: 162395.5 , 6830.mrc: 722271.84375
6n4b: 162395.5 , 3488.mrc: 78867.1289064
6n4b: 162395.5 , 6896.mrc: 586147.96875
6n4b: 162395.5 , 0502.mrc: 223699.975
6n4b: 162395.5 , 0339.mrc: 461640.675

6nq0: 197450.0 , 0339.mrc: 461640.675
6nq0: 197450.0 , 3488.mrc: 78867.1289064
6nq0: 197450.0 , 7782.mrc: 854390.225
6nq0: 197450.0 , 0502.mrc: 223699.975
6nq0: 197450.0 , 6830.mrc: 722271.84375
6nq0: 197450.0 , 9297.mrc: 304272.690625
6nq0: 197450.0 , 6896.mrc: 586147.96875

6mzb: 271891.625 , 6896.mrc: 586147.96875
6mzb: 271891.625 , 0502.mrc: 223699.975
6mzb: 271891.625 , 0452.mrc: 911483.8
6mzb: 271891.625 , 9297.mrc: 304272.690625
6mzb: 271891.625 , 7782.mrc: 854390.225
6mzb: 271891.625 , 0339.mrc: 461640.675
6mzb: 271891.625 , 6830.mrc: 722271.84375

5z62: 282727.25 , 6830.mrc: 722271.84375
5z62: 282727.25 , 9297.mrc: 304272.690625
5z62: 282727.25 , 3699.mrc: 911678.9875
5z62: 282727.25 , 0339.mrc: 461640.675
5z62: 282727.25 , 0452.mrc: 911483.8
5z62: 282727.25 , 6896.mrc: 586147.96875
5z62: 282727.25 , 7782.mrc: 854390.225

6nmi: 470765.75 , 7782.mrc: 854390.225
6nmi: 470765.75 , 0339.mrc: 461640.675
6nmi: 470765.75 , 2981.mrc: 972292.0625
6nmi: 470765.75 , 6896.mrc: 586147.96875
6nmi: 470765.75 , 3699.mrc: 911678.9875
6nmi: 470765.75 , 6830.mrc: 722271.84375
6nmi: 470765.75 , 0452.mrc: 911483.8

6hls: 590669.75 , 0452.mrc: 911483.8
6hls: 590669.75 , 6896.mrc: 586147.96875
6hls: 590669.75 , 0241.mrc: 1032409.3
6hls: 590669.75 , 6830.mrc: 722271.84375
6hls: 590669.75 , 2981.mrc: 972292.0625
6hls: 590669.75 , 7782.mrc: 854390.225
6hls: 590669.75 , 3699.mrc: 911678.9875

5yi5: 665618.5 , 3699.mrc: 911678.9875
5yi5: 665618.5 , 6830.mrc: 722271.84375
5yi5: 665618.5 , 0477.mrc: 1039426.1
5yi5: 665618.5 , 7782.mrc: 854390.225
5yi5: 665618.5 , 0241.mrc: 1032409.3
5yi5: 665618.5 , 0452.mrc: 911483.8
5yi5: 665618.5 , 2981.mrc: 972292.0625

5nv3: 733682.5 , 2981.mrc: 972292.0625
5nv3: 733682.5 , 7782.mrc: 854390.225
5nv3: 733682.5 , 6338.mrc: 1631825.15
5nv3: 733682.5 , 0452.mrc: 911483.8
5nv3: 733682.5 , 0477.mrc: 1039426.1
5nv3: 733682.5 , 3699.mrc: 911678.9875
5nv3: 733682.5 , 0241.mrc: 1032409.3

6d00: 757980.875 , 0241.mrc: 1032409.3
6d00: 757980.875 , 0452.mrc: 911483.8
6d00: 757980.875 , 9400.mrc: 1655779.7
6d00: 757980.875 , 3699.mrc: 911678.9875
6d00: 757980.875 , 6338.mrc: 1631825.15
6d00: 757980.875 , 2981.mrc: 972292.0625
6d00: 757980.875 , 0477.mrc: 1039426.1

5a0q: 810289.25 , 0477.mrc: 1039426.1
5a0q: 810289.25 , 3699.mrc: 911678.9875
5a0q: 810289.25 , 7610.mrc: 1947501.55
5a0q: 810289.25 , 2981.mrc: 972292.0625
5a0q: 810289.25 , 9400.mrc: 1655779.7
5a0q: 810289.25 , 0241.mrc: 1032409.3
5a0q: 810289.25 , 6338.mrc: 1631825.15

3ja8: 1134400.25 , 6338.mrc: 1631825.15
3ja8: 1134400.25 , 2981.mrc: 972292.0625
3ja8: 1134400.25 , 0241.mrc: 1032409.3
3ja8: 1134400.25 , 7610.mrc: 1947501.55
3ja8: 1134400.25 , 0477.mrc: 1039426.1
3ja8: 1134400.25 , 9400.mrc: 1655779.7

5bk4: 1240895.125 , 9400.mrc: 1655779.7
5bk4: 1240895.125 , 0241.mrc: 1032409.3
5bk4: 1240895.125 , 0477.mrc: 1039426.1
5bk4: 1240895.125 , 6338.mrc: 1631825.15
5bk4: 1240895.125 , 7610.mrc: 1947501.55

6ct0: 1997475.0 , 7610.mrc: 1947501.55
6ct0: 1997475.0 , 0477.mrc: 1039426.1
6ct0: 1997475.0 , 6338.mrc: 1631825.15
6ct0: 1997475.0 , 9400.mrc: 1655779.7

