atomid: atom_vol, EMid: EM_vol, score
6nt5: 69235.993 , 3488.mrc: 78867.1289064 0.13910591137762693
6nt5: 69235.993 , 0502.mrc: 223699.975 3.2309780694558685
6nt5: 69235.993 , 0379.mrc: 283184.340625 5.0901318570674645
6nt5: 69235.993 , 9297.mrc: 304272.690625 6.394718374660994

5me2: 69504.473 , 3488.mrc: 78867.1289064 1.13470580384661
5me2: 69504.473 , 0502.mrc: 223699.975 2.218497534683847
5me2: 69504.473 , 0379.mrc: 283184.340625 4.0743326062626215
5me2: 69504.473 , 9297.mrc: 304272.690625 5.377742575287205

6n4b: 134679.822 , 0379.mrc: 283184.340625 1.1026486107547724
6n4b: 134679.822 , 0502.mrc: 223699.975 1.6609761705803265
6n4b: 134679.822 , 9297.mrc: 304272.690625 2.259229973031892
6n4b: 134679.822 , 3488.mrc: 78867.1289064 2.41441020833544

6n9u: 143214.893 , 9297.mrc: 304272.690625 1.1245883319202004
6n9u: 143214.893 , 0379.mrc: 283184.340625 1.9773386321281543
6n9u: 143214.893 , 0502.mrc: 223699.975 2.5619882144519703
6n9u: 143214.893 , 0339.mrc: 461640.675 3.223412491045886

5z62: 237251.219 , 0339.mrc: 461640.675 0.9457884218500052
5z62: 237251.219 , 9297.mrc: 304272.690625 1.282491579632305
5z62: 237251.219 , 0379.mrc: 283184.340625 2.193605418840862
5z62: 237251.219 , 6896.mrc: 586147.96875 2.470579376664867

6mzb: 239795.205 , 6896.mrc: 586147.96875 1.4443690137590535
6mzb: 239795.205 , 0339.mrc: 461640.675 1.9251455632734609
6mzb: 239795.205 , 9297.mrc: 304272.690625 2.268885633576368
6mzb: 239795.205 , 0128.mrc: 611403.76875 2.5496913866563764

6h25: 359535.44 , 0128.mrc: 611403.76875 0.7005382522234805
6h25: 359535.44 , 6896.mrc: 586147.96875 1.6302926041171353
6h25: 359535.44 , 6830.mrc: 722271.84375 2.0089030548699176
6h25: 359535.44 , 0339.mrc: 461640.675 2.2839921288427085

6nmi: 394507.738 , 6830.mrc: 722271.84375 0.8308179388613157
6nmi: 394507.738 , 0128.mrc: 611403.76875 1.5497890405130659
6nmi: 394507.738 , 7782.mrc: 854390.225 2.165712209680409
6nmi: 394507.738 , 6896.mrc: 586147.96875 2.485770524354075

6d00: 624004.32 , 7782.mrc: 854390.225 0.369205625050801
6d00: 624004.32 , 6830.mrc: 722271.84375 1.1574789157709677
6d00: 624004.32 , 0452.mrc: 911483.8 1.4607011054026038
6d00: 624004.32 , 0128.mrc: 611403.76875 2.0201930513077215

6eu2: 626293.208 , 0452.mrc: 911483.8 0.45536274121625164
6eu2: 626293.208 , 7782.mrc: 854390.225 1.3642016456292145
6eu2: 626293.208 , 3699.mrc: 911678.9875 1.4556743963603707
6eu2: 626293.208 , 6830.mrc: 722271.84375 2.1532487252360557

5nv3: 672793.005 , 3699.mrc: 911678.9875 0.35506609124154026
5nv3: 672793.005 , 0452.mrc: 911483.8 1.3547759760076579
5nv3: 672793.005 , 2981.mrc: 972292.0625 1.4451578052598808
5nv3: 672793.005 , 7782.mrc: 854390.225 2.269915440039392

5a0q: 695702.145 , 2981.mrc: 972292.0625 0.397569447626182
5a0q: 695702.145 , 3699.mrc: 911678.9875 1.3104444108045694
5a0q: 695702.145 , 3957.mrc: 1089774.3625 1.566438123458711
5a0q: 695702.145 , 0452.mrc: 911483.8 2.3101638489270435

5yi5: 959325.844 , 3957.mrc: 1089774.3625 0.13597936437955485
5yi5: 959325.844 , 2981.mrc: 972292.0625 1.0135159691371767
5yi5: 959325.844 , 9400.mrc: 1655779.7 1.7259825849119936
5yi5: 959325.844 , 3699.mrc: 911678.9875 2.0496670206458028

5bk4: 990859.95 , 9400.mrc: 1655779.7 0.6710532098910649
5bk4: 990859.95 , 3957.mrc: 1089774.3625 1.0998268347610578
5bk4: 990859.95 , 7610.mrc: 1947501.55 1.9654660075826054
5bk4: 990859.95 , 2981.mrc: 972292.0625 2.0187391643995705

6ct0: 1627144.08 , 7610.mrc: 1947501.55 0.19688328399289629
6ct0: 1627144.08 , 9400.mrc: 1655779.7 1.017598699679994
6ct0: 1627144.08 , 3957.mrc: 1089774.3625 2.3302533095286804
6ct0: 1627144.08 , 2981.mrc: 972292.0625 3.4024548443798537

